what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484287835449
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484287835539
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1484287840479
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1484287841146
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484287852816
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.showInformation",1484287852824
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484287854704
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484287855056
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484287858022
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1484287868012
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1484287875288
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1484287880874
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1484287881064
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484287889789
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1484287895628
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484287919608
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484287922272
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484288163124
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1484288172663
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1484288172961
started,bundle,org.eclipse.jst.jee,1.0.300.v201005191301,"org.eclipse.jst.jee",1484288173001
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1484288174085
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484288183442
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484288183473
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1484288187215
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1484288194802
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1484288212791
